"id","name"
"230040","吴忠"
"230050","固原"
"230060","中卫"
"240","青海省"
"240020","西宁"
"240030","海东"
"240040","海西"
"240050","海北"
"240060","黄南"
"240070","海南"
"240080","果洛"
"240090","玉树"
"250","山东省"
"250020","济南"
"250030","德州"
"250040","东营"
"250050","济宁"
"250060","临沂"
"250070","青岛"
"250080","日照"
"250090","泰安"
"250100","威海"
"250110","潍坊"
"250120","烟台"
"250130","淄博"
"250140","枣庄"
"250150","滨州"
"250160","聊城"
"250170","菏泽"
"250180","莱芜"
"250190","荣成"
"250200","黄岛"
"250210","乳山"
"250220","城阳"
"250230","即墨"
"250240","肥城"
"250250","兖州"
"250260","海阳"
"250270","胶州"
"250280","胶南"
"250290","平度"
"250300","莱西"
"260","山西省"
"260020","太原"
"260030","大同"
"260040","临汾"
"260050","运城"
"260060","长治"
"260070","阳泉"
"260080","晋城"
"260090","朔州"
"260100","晋中"
"260110","忻州"
"260120","吕梁"
"260130","永济"
"260140","和顺"
"270","陕西省"
"270020","西安"
"270030","宝鸡"
"270040","咸阳"
"270050","铜川"
"270060","渭南"
"270070","汉中"
"270080","安康"
"270090","商洛"
"270100","延安"
"270110","榆林"
"270120","杨凌"
"270130","兴平"
"280","四川省"
"280020","成都"
"280030","乐山"
"280040","泸州"
"280050","绵阳"
"280060","内江"
"280070","宜宾"
"280080","自贡"
"280090","攀枝花"
"280100","德阳"
"280110","广元"
"280120","遂宁"
"280130","南充"
"280140","眉山"
"280150","广安"
"280160","达州"
"280170","雅安"
"280180","巴中"
"280190","资阳"
"280200","西昌"
"280210","甘孜"
"280220","阿坝"
"280230","凉山"
"280240","峨眉"
"280250","简阳"
"290","西藏"
"290020","拉萨"
"290030","日喀则"
"290040","林芝"
"290050","山南"
"290060","昌都"
"290070","那曲"
"290080","阿里"
"300","新疆"
"300020","乌鲁木齐"
"300030","喀什"
"300040","克拉玛依"
"300050","伊犁"
"300060","阿克苏"
"300070","哈密"
"300080","石河子"
"300090","阿拉尔"
"300100","五家渠"
"300110","图木舒克"
"300120","昌吉"
"300130","阿勒泰"
"300140","吐鲁番"
"300150","塔城"
"300160","和田"
"300170","克州"
"300180","巴音郭楞"
"300190","博尔塔拉"
"300200","奎屯市"
"300210","乌苏"
"310","云南省"
"310020","昆明"
"310030","大理"
"310040","丽江"
"310050","玉溪"
"310060","曲靖"
"310070","保山"
"310080","昭通"
"310090","普洱"
"310100","临沧"
"310110","红河"
"310120","文山"
"310130","西双版纳"
"310140","德宏"
"310150","楚雄"
"310160","怒江"
"310170","迪庆"
"310180","思茅"
